strategy,feature,discovery_event_effect,discovery_trigger_hour_effect,discovery_low_resolved_n,discovery_high_resolved_n,discovery_low_unique_context_hours,discovery_high_unique_context_hours,discovery_lodo_valid_n,discovery_lodo_same_sign_ratio,discovery_lowo_valid_n,discovery_lowo_same_sign_ratio,discovery_day_bootstrap_cluster,discovery_day_bootstrap_requested_replicates,discovery_day_bootstrap_valid_replicates,discovery_day_bootstrap_seed,discovery_day_bootstrap_median,discovery_day_bootstrap_ci_low,discovery_day_bootstrap_ci_high,discovery_week_bootstrap_cluster,discovery_week_bootstrap_requested_replicates,discovery_week_bootstrap_valid_replicates,discovery_week_bootstrap_seed,discovery_week_bootstrap_median,discovery_week_bootstrap_ci_low,discovery_week_bootstrap_ci_high,holdout_event_effect,holdout_trigger_hour_effect,holdout_low_resolved_n,holdout_high_resolved_n,holdout_low_unique_context_hours,holdout_high_unique_context_hours,holdout_lodo_valid_n,holdout_lodo_same_sign_ratio,holdout_lowo_valid_n,holdout_lowo_same_sign_ratio,holdout_day_bootstrap_cluster,holdout_day_bootstrap_requested_replicates,holdout_day_bootstrap_valid_replicates,holdout_day_bootstrap_seed,holdout_day_bootstrap_median,holdout_day_bootstrap_ci_low,holdout_day_bootstrap_ci_high,holdout_week_bootstrap_cluster,holdout_week_bootstrap_requested_replicates,holdout_week_bootstrap_valid_replicates,holdout_week_bootstrap_seed,holdout_week_bootstrap_median,holdout_week_bootstrap_ci_low,holdout_week_bootstrap_ci_high
BRF2-001,avg_cross_asset_corr_24h,0.15343915343915343,0.1913333333333333,108,84,50,50,16,1.0,3,0.6666666666666666,utc_day,20000,20000,6297437632223797594,0.18976169083985794,-0.126598850823722,0.6194194916922592,utc_week,20000,20000,15000120572532154347,0.15343915343915343,-0.9469387755102041,0.5079365079365079,0.31820287169986106,0.27623806453593686,17,254,10,94,11,1.0,3,1.0,utc_day,20000,17766,5870564073344149761,0.3072152125968098,-0.1454670139916721,0.7283921579673812,utc_week,20000,18522,10208630623715857348,0.31820287169986106,0.024509803921568624,0.5561181434599156
BRF2-001,market_rv_24h,0.15439170758319695,0.19905660377358492,94,78,53,50,16,1.0,3,0.6666666666666666,utc_day,20000,20000,6634549397137225238,0.16300864397725606,-0.2614275867130044,0.573481890209394,utc_week,20000,20000,2732062976961079845,0.15439170758319695,-1.1333333333333333,0.420479302832244,0.558553696708041,0.44484809484809484,34,218,21,74,11,1.0,3,0.6666666666666666,utc_day,20000,19859,12790370454542386018,0.5757938089544308,0.06063363667003708,1.1438773189101754,utc_week,20000,19263,10389505522048665489,0.558553696708041,-0.28787878787878785,0.7980198019801981
CPM-RO-001,avg_cross_asset_corr_24h,-0.33087874324987726,-0.31198995605775265,97,105,48,59,16,1.0,3,0.6666666666666666,utc_day,20000,20000,14259425954342805563,-0.35935135481556346,-0.8752082919563059,0.11826073503031366,utc_week,20000,20000,6788632512360751181,-0.33087874324987726,-1.1384615384615384,0.027777777777777776,-0.38641686182669793,-0.5334928651595318,28,244,12,90,15,0.9333333333333333,3,0.6666666666666666,utc_day,20000,17665,10970998595007647225,-0.2958823529411765,-0.7868914522330671,0.852673539518898,utc_week,20000,18519,1174742488962432107,-0.1936585365853658,-0.6733333333333333,0.03343823760818254
CPM-RO-001,directional_efficiency_24h,0.24843373493975907,0.2305902777777778,100,83,75,64,16,1.0,3,1.0,utc_day,20000,20000,18155863949374486568,0.24651907406712298,-0.08625166809080745,0.5868117651929126,utc_week,20000,20000,13304215874945948961,0.24843373493975907,-0.09523809523809523,0.6916221033868093,0.46618962432915917,0.279534632034632,65,172,40,77,15,1.0,3,1.0,utc_day,20000,20000,888211208646158958,0.4328834552658265,-0.15160413016934757,0.8074912578046615,utc_week,20000,19278,5079143174432452318,0.44742119194673935,0.10225563909774432,0.49231247088057145
