strategy,entry_cardinality,retention_cardinality,mode,mean_turnover,p95_turnover,mean_membership_hours,mean_additions,mean_removals
BRF2-001,16,16,FIXED_TOP_N,0.14475108225108224,0.25,27.285451197053405,2.316017316017316,2.316017316017316
BRF2-001,16,16,ENTRY_N_RETAIN_16,0.14475108225108224,0.25,27.285451197053405,2.316017316017316,2.316017316017316
CPM-RO-001,16,16,FIXED_TOP_N,0.2278138528138528,0.4375,17.430588235294117,3.645021645021645,3.645021645021645
CPM-RO-001,16,16,ENTRY_N_RETAIN_16,0.2278138528138528,0.4375,17.430588235294117,3.645021645021645,3.645021645021645
MI-001,16,16,FIXED_TOP_N,0.1481293895191788,0.3125,6.729956847603907,2.370070232306861,2.370070232306861
MI-001,16,16,ENTRY_N_RETAIN_16,0.1481293895191788,0.3125,6.729956847603907,2.370070232306861,2.370070232306861
MPG-001,12,16,FIXED_TOP_N,0.08810552854312984,0.16666666666666666,11.286947689182325,1.0572663425175581,1.0572663425175581
MPG-001,12,16,ENTRY_N_RETAIN_16,0.05617130033661638,0.15384615384615385,18.10311418685121,0.7741761210156672,0.7725553754727175
