cardinality,snapshot_count,mean_unique_feature_value_count,mean_boundary_tie_count,mean_boundary_tie_fraction,mean_tie_break_selected_fraction,mean_feature_determined_fraction,baseline_event_selected_fraction
16,1852,23.069114470842333,1.1128509719222461,0.04636879049676025,0.010394168466522679,0.9896058315334774,0.9142857142857143
12,1852,23.069114470842333,1.093952483801296,0.045581353491720655,0.012329013678905685,0.9876709863210942,0.8857142857142857
8,1852,23.069114470842333,1.0788336933045357,0.044951403887688986,0.0146463282937365,0.9853536717062635,0.7714285714285715
